Full Design,NFE,Penalized Target Ratio Objective,Penalized Stiffness Objective,Feasibility Score,Stability Score
010101000111000010110101110110101000,7978,11.905851710464114,11.51099763900648,1.3877787807814457E-16,1.0
011011111010000011110110011011010001,9348,11.903124723297509,11.409116519039324,1.3877787807814457E-16,1.0
011001111000100011100110101011100001,6258,11.902408243220185,11.413065053784997,1.3877787807814457E-16,1.0
100101011101100100011000111111110101,8784,11.900328088462215,11.454216499479685,1.3877787807814457E-16,1.0
100101010010110000111001111101011100,9904,11.95607371595811,11.601652659756954,1.3877787807814457E-16,1.0
001111111010000001100110111010010001,1546,11.90108748589883,11.423354084315594,1.3877787807814457E-16,1.0
001111101000100001100111011011011001,1526,11.899427620695725,11.45499997870124,1.3877787807814457E-16,1.0
101110101111000011001101001110111111,4352,11.900101644363344,11.400210785927,1.3877787807814457E-16,1.0
111111111010001011110100010101100101,4020,11.902525507922165,11.432345988507734,1.3877787807814457E-16,1.0
000010101010100110010111111011011001,1932,11.90439338890285,11.40865071961873,1.3877787807814457E-16,1.0
010100010111000110010101000111011000,3342,11.901915008842138,11.518807300905006,1.3877787807814457E-16,1.0
010011001111000100100111001000011001,368,11.923258821783426,11.287847990591226,1.3877787807814457E-16,1.0
011100010101000101100111010110111010,2778,11.9210080099362,11.351536465253043,1.3877787807814457E-16,1.0
010011111000100010000111001000101011,1396,11.92162516688739,11.283030536305505,1.3877787807814457E-16,1.0
111101101010010101100111111101111101,6808,11.907826101699273,11.369199097138697,1.3877787807814457E-16,1.0
101111011010100111110000010101100101,4920,11.902073978002404,11.4491935245536,1.3877787807814457E-16,1.0
001101101101011011001111101111011001,8918,11.950126809895508,11.5700459893027,1.3877787807814457E-16,1.0
101100011101000011010010001100110101,9312,11.922631102010921,11.354576948006962,1.3877787807814457E-16,1.0
011111100110000011010110111101110010,6852,11.912624408204564,11.37727382874987,1.3877787807814457E-16,1.0
100100110100110110110111101101001100,7052,11.8973143194945,11.493773019307422,1.3877787807814457E-16,1.0
101010101110000101100111011000001111,332,11.92642740513407,11.248682267747308,1.3877787807814457E-16,1.0
111111100100101011100101111101101110,3536,11.901923449017442,11.425771184366088,1.3877787807814457E-16,1.0
011101010110110011111001111110111000,7756,11.955912623149693,11.597443727257865,1.3877787807814457E-16,1.0
011001001010000101000110011010100011,1312,11.930689709942753,11.152752603257715,1.3877787807814457E-16,1.0
110110111010100010000110001110110111,2206,11.932104485504507,11.250838125391429,1.3877787807814457E-16,1.0
101101101001111011100010101000110101,8372,11.903302408312088,11.480424923777347,1.3877787807814457E-16,1.0
010010111011000010110100100110100011,3176,11.919160891152284,11.375774878966801,1.3877787807814457E-16,1.0
001111111111111011100110111100010001,8704,11.905250170587536,11.50779348442306,1.3877787807814457E-16,1.0
110000001111010000100110011000100111,796,11.941113542778886,11.13124419879919,1.3877787807814457E-16,1.0
001001010111101111111011010101111000,5710,11.939477651249742,11.585183970053883,1.3877787807814457E-16,1.0
111111011111010111100011001000011101,5748,11.905150517435615,11.390448229286378,1.3877787807814457E-16,1.0
111100101100000101110111011010001111,480,11.921619533636125,11.28065074861757,1.3877787807814457E-16,1.0
011100011010000101100101010010111011,3182,11.918232277122305,11.33349049886516,1.3877787807814457E-16,1.0
010111101101000000111100011101010001,5908,11.904493110172725,11.431758639424679,1.3877787807814457E-16,1.0
000010111110101010100101011110101011,3156,11.903487549263648,11.432909008108258,1.3877787807814457E-16,1.0
010010000110010110100011010111101000,5262,11.912206643122259,11.38519233988128,1.3877787807814457E-16,1.0
000010101110100010010110011100010001,2178,11.916389011917888,11.372831968364078,1.3877787807814457E-16,1.0
101001101011100111111111010011111111,5644,11.897510732631453,11.442166726728505,1.3877787807814457E-16,1.0
001011111100100011100011010110101011,5482,11.895018992629497,11.446315864564138,1.3877787807814457E-16,1.0
011100101011100111111011111110111001,8022,11.897892662904688,11.467149347135496,1.3877787807814457E-16,1.0
010010001110000110011101010110111011,3108,11.916804592434564,11.332254917582235,1.3877787807814457E-16,1.0
110100100001110010011001101001101100,5724,11.922260281442629,11.524529063084254,1.3877787807814457E-16,1.0
100100100010000010010010111011110100,9232,11.91364963156364,11.391864328111641,1.3877787807814457E-16,1.0
101100111101000011101111111100101101,5292,11.908637317967774,11.404205805427218,1.3877787807814457E-16,1.0
000001100010110100001110111001000000,9384,11.919072400469467,11.49297869908611,1.3877787807814457E-16,1.0
011101010111000011010000111001000010,6972,11.893259817887209,11.466716926649548,1.3877787807814457E-16,1.0
010010011111101110100110010111100011,3200,11.928954867194129,11.320448142559385,1.3877787807814457E-16,1.0
000101101111000010000110111001100001,4376,11.919399486174585,11.354810049599646,1.3877787807814457E-16,1.0
111111111000100011011010011001010101,6160,11.90101723523565,11.409586334804422,1.3877787807814457E-16,1.0
001110111110000111000110010100000011,2246,11.926253868303773,11.314064282519404,1.3877787807814457E-16,1.0
110011111010000110010010111000110101,3340,11.927983944212986,11.289552549661455,1.3877787807814457E-16,1.0
111000101000100111100110111111100111,4334,11.930339675877539,11.26224114080273,1.3877787807814457E-16,1.0
001101101101001011011000001011010001,8600,11.992523215840029,11.64157717592691,1.3877787807814457E-16,1.0
011110111101000011000101001110001011,1890,11.90993287594997,11.377680921562321,1.3877787807814457E-16,1.0
100101011111111010110000101001110101,8660,11.910154133019642,11.53219218479664,1.3877787807814457E-16,1.0
100111011011000110010000011110000111,4086,11.921317064421402,11.334437291183207,1.3877787807814457E-16,1.0
111001111010100011011110111110100111,6298,11.90374752048602,11.37353232094268,1.3877787807814457E-16,1.0
001010101010010111101111011011011001,1108,11.900484336720423,11.446765756917985,1.3877787807814457E-16,1.0
010010001110001010110101010011101011,3466,11.915121210762367,11.360760441364851,1.3877787807814457E-16,1.0
100010111110101110000001001010011101,2032,11.895560833171896,11.465941919706856,1.3877787807814457E-16,1.0
010100010000001110010101000111111010,2836,11.90593899906498,11.432382701285182,1.3877787807814457E-16,1.0
111110110111000111011011111110001110,6028,11.902836749984765,11.40768961633861,1.3877787807814457E-16,1.0
011001101010110011100001001001001001,5594,11.960838373105009,11.57179642494117,1.3877787807814457E-16,1.0
110001110110100100000110110101110100,9956,11.918792845661875,11.36532114684924,1.3877787807814457E-16,1.0
111100100110000011100110011011100100,5208,11.920500029817871,11.327686204925527,1.3877787807814457E-16,1.0
010110001111111100111100011110000011,4148,11.902340676726665,11.412112573555708,1.3877787807814457E-16,1.0
001101110111000001100100111111000000,4420,11.931052390757866,11.581350202478344,1.3877787807814457E-16,1.0
101010001001000111010111001000011101,862,11.92290528778337,11.277505475423474,1.3877787807814457E-16,1.0
010111001011010000000101001111001001,1516,11.898221846171399,11.417935795959975,1.3877787807814457E-16,1.0
100010111010100110110101010110111101,1902,11.904851350797554,11.434699581195035,1.3877787807814457E-16,1.0
010010011010010110010101010110101011,2580,11.916804592434564,11.332254917582235,1.3877787807814457E-16,1.0
011100111100100001010111111001101001,5480,11.906633377714194,11.400916052963312,1.3877787807814457E-16,1.0
011101010110110001100011101100101010,7568,11.905008331536694,11.473207745896273,1.3877787807814457E-16,1.0
111110010001111001001110101110010110,9878,11.90110919777933,11.400206032352294,1.3877787807814457E-16,1.0
111010111111010001000111001000011101,428,11.908310659806933,11.345553743297213,1.3877787807814457E-16,1.0
111101110100100011100110101011100100,6104,11.90190254128548,11.429290960825801,1.3877787807814457E-16,1.0
010011101010100000100111011110001011,4414,11.912170050553996,11.32484580399106,1.3877787807814457E-16,1.0
111101100100100011100110011111000100,5296,11.902408243220185,11.413065053784997,1.3877787807814457E-16,1.0
011101010111100111000010011111110000,6348,11.902191109996744,11.440827112202866,1.3877787807814457E-16,1.0
010111001100010010110111001000011001,1128,11.904712754717425,11.385188517397669,1.3877787807814457E-16,1.0
110100001100010000101001011110101111,600,11.916166661922857,11.311075676777186,1.3877787807814457E-16,1.0
000100000110010010011001101000101000,9368,11.99491838278498,11.637917099973249,1.3877787807814457E-16,1.0
001101111111000111011101001110011001,4250,11.95126168401487,11.583236960640122,1.3877787807814457E-16,1.0
010101100111100110011000111100110000,8468,11.906544724536465,11.516212055817736,1.3877787807814457E-16,1.0
011010110010110111011000011001110000,9068,11.90972978812554,11.506402925947778,1.3877787807814457E-16,1.0
111100111111100111011011110110111111,5800,11.900774281694035,11.420384240167234,1.3877787807814457E-16,1.0
011101111110100111011001110111101011,6602,11.913175168983596,11.506495688419315,1.3877787807814457E-16,1.0
001101101110100101111101110101101011,7834,11.915414740087028,11.513782673242277,1.3877787807814457E-16,1.0
101011001010000011010000001011110101,5204,11.895787044954396,11.410241024908347,1.3877787807814457E-16,1.0
011111111110100011011010011001010001,6072,11.900355422925882,11.470514219392145,1.3877787807814457E-16,1.0
111101111010100011010110011001000111,6140,11.911865746971875,11.342101450963073,1.3877787807814457E-16,1.0
011000101011100001110111101110111001,7840,11.897113395215733,11.450786346780461,1.3877787807814457E-16,1.0
010100111010010010011011110011011011,6648,11.900661049453356,11.457244322554905,1.3877787807814457E-16,1.0
010110111010010010001111001000011001,1040,11.899165641346736,11.392930429183957,1.3877787807814457E-16,1.0
010111111001000110010110010011010001,2284,11.918792845661875,11.36532114684924,1.3877787807814457E-16,1.0
111111110111010011100001111101101100,5502,11.899873943870698,11.487711569433294,1.3877787807814457E-16,1.0
001101111110000011001101011000101001,4678,11.92123092443447,11.510198982120988,1.3877787807814457E-16,1.0
010101101110110110000110111110110001,2056,11.90852529358232,11.383280453999305,1.3877787807814457E-16,1.0
001111111010010001000001011110101001,4752,11.925973729159201,11.518300402977395,1.3877787807814457E-16,1.0
100110101100110010010000111100010101,9992,11.904043983947354,11.440956107894207,1.3877787807814457E-16,1.0
010011101100000010100110001000010011,786,11.933395396339806,11.229234384213035,1.3877787807814457E-16,1.0
110100000000001010000111011001011100,1076,11.929840478039075,11.25416170025651,1.3877787807814457E-16,1.0
110100110111100010111101110000101100,7438,11.901166373587282,11.500765654009475,1.3877787807814457E-16,1.0
011010111010010101001011011011011001,1356,11.894909791754555,11.416846908025319,1.3877787807814457E-16,1.0
100111111100100000100011011010101111,5352,11.916096922051189,11.348334697938881,1.3877787807814457E-16,1.0
101111011111010111011011010111101101,5324,11.90225244248818,11.467860953560942,1.3877787807814457E-16,1.0
111101010111000011111100111110000110,6308,11.893259817887209,11.449510172398236,1.3877787807814457E-16,1.0
111000101010100111110101011111111101,4078,11.902340676726665,11.412112573555708,1.3877787807814457E-16,1.0
110101111010000110110010011110000111,4098,11.921515373251182,11.319136332151144,1.3877787807814457E-16,1.0
111000110110000111011000111101110110,6886,11.908837949404901,11.405517942244776,1.3877787807814457E-16,1.0
101110110101000101010110010011000100,3396,11.91247548978835,11.400252260883246,1.3877787807814457E-16,1.0
111100011001000101000101000111011101,2732,11.913686823746108,11.361656806398331,1.3877787807814457E-16,1.0
011000011010000011010001010011011001,3216,11.911553995972952,11.495247402707422,1.3877787807814457E-16,1.0
000101011011000000111011100111011011,8554,11.916405437987098,11.52050894491115,1.3877787807814457E-16,1.0
110100101100000000000111011010011101,456,11.930352239218575,11.211632002666907,1.3877787807814457E-16,1.0
010001111101100100010111110101001011,9602,11.909958513816008,11.389067616458439,1.3877787807814457E-16,1.0
111011101010001111000110011010110101,1238,11.920083620043833,11.28722290404755,1.3877787807814457E-16,1.0
001100111101110011011000111100110001,8300,11.924340996397268,11.560338748925263,1.3877787807814457E-16,1.0
